Unnamed: 0,life_expectancy,male_life_expectancy,female_life_expectancy,healthcare_spending,GDP_per_capita,obesity_prevalence,carbon_emissions,schooling,physicians,sanitation_mortality_rate,urban_population,rural_population,sanitation_population_perct,unemployment_perct,mobile_cell_subs,GINI_index
0,32.535,31.87,33.285,,62.3693745050559,,,,0.035,,8.401,91.599,,,0.0,
1,33.068,32.409,33.813,,62.4437034626929,,,,,,8.684,91.316,,,,
2,33.547,32.883,34.297,,60.9503638210144,,,,,,8.976,91.024,,,,
3,34.016,33.346,34.773,,82.0217375781519,,,,,,9.276,90.724,,,,
4,34.494,33.828,35.246,,85.5110734102311,,,,,,9.586,90.414,,,,
5,34.953,34.289,35.702,,105.243195716467,,,,0.063,,9.904,90.096,,,0.0,
6,35.453,34.768,36.226,,143.103233209791,,,,,,10.233,89.767,,,,
7,35.924,35.225,36.711,,167.165674606148,,,,,,10.57,89.43,,,,
8,36.418,35.712,37.214,,134.012768293881,,,,,,10.918,89.082,,,,
9,36.91,36.206,37.701,,134.250359614672,,,,,,11.275,88.725,,,,
10,37.418,36.692,38.233,,162.642175409527,,,0.768769979476929,0.065,,11.643,88.357,,,0.0,
11,37.923,37.178,38.76,,166.224831269243,,,0.923879981040955,,,12.021,87.979,,,,
12,38.444,37.681,39.3,,141.36532229912,,,0.951129972934723,,,12.41,87.59,,,,
13,39.003,38.241,39.857,,149.74406846683,,,1.09458994865417,,,12.809,87.191,,,,
14,39.55,38.792,40.397,,181.59877600924,,,1.02260005474091,,,13.219,86.781,,,,
15,40.1,39.35,40.938,,194.66903621844,6.1,,1.11731994152069,,,13.641,86.359,,,0.0,
16,40.645,39.892,41.483,,205.674096714917,6.3,,1.26757001876831,,,14.074,85.926,,,0.0,
17,41.228,40.492,42.044,,232.778698777445,6.5,,1.40822005271912,,,14.517,85.483,,,0.0,
18,40.271,39.022,41.685,,255.045622164367,6.8,,1.80833005905151,,,14.973,85.027,,,0.0,
19,39.086,37.314,41.143,,284.755531712597,7.0,,1.9456399679184,,,15.442,84.558,,,0.0,
20,39.618,37.799,41.72,,291.649791044155,7.3,,,,,15.995,84.005,,,0.0,
21,40.164,38.312,42.295,,311.853617000053,7.6,,,0.077,,16.562,83.438,,,0.0,
22,37.766,35.212,40.833,,,7.9,,1.72288000583649,,,17.147,82.853,,,0.0,
23,38.187,35.518,41.38,,,8.2,,,,,17.747,82.253,,,0.0,
24,33.329,29.793,37.974,,,8.4,,,,,18.365,81.635,,,0.0,
25,33.55,29.896,38.316,,,8.7,,,,,18.997,81.003,,,0.0,
26,39.396,36.389,42.909,,,9.1,,2.1554000377655,0.183,,19.647,80.353,,,0.0,
27,39.844,36.739,43.453,,,9.4,,1.70773994922638,0.179,,20.314,79.686,,,0.0,
28,43.958,41.572,46.569,,,9.7,,,,,20.998,79.002,,,0.0,
29,45.158,42.891,47.61,,,10.0,,,0.129,,21.088,78.912,,,0.0,
30,45.967,43.709,48.397,,,10.4,0.2225381391099,2.21141004562378,0.109,,21.177,78.823,,,0.0,
31,46.663,44.353,49.144,,,10.7,0.207535164413917,,,,21.266,78.734,,8.12100028991699,0.0,
32,47.596,45.07,50.32,,,11.0,0.115281586055672,,,,21.355,78.645,,8.16800022125244,0.0,
33,51.466,50.216,52.739,,,11.4,0.0956885864939131,,0.143,,21.444,78.556,,8.1230001449585,0.0,
34,51.495,49.531,53.544,,,11.7,0.0834651359980279,,,,21.534,78.466,,8.11100006103516,0.0,
35,52.544,51.039,54.087,,,12.1,0.0755226655700451,,,,21.624,78.376,,8.26000022888184,0.0,
36,53.243,51.722,54.806,,,12.5,0.0689792445545125,,,,21.714,78.286,,8.16499996185303,0.0,
37,53.634,52.153,55.151,,,12.9,0.0618365952231005,,0.11,,21.805,78.195,,8.08899974822998,0.0,
38,52.943,51.134,54.818,,,13.4,0.0562370938573304,,,,21.895,78.105,,8.08199977874756,0.0,
39,54.846,53.41,56.3,,,13.8,0.0420498589850192,,,,21.986,78.014,,8.06999969482422,0.0,
40,55.298,53.762,56.858,,,14.2,0.0388886404336861,,,,22.078,77.922,,8.05399990081787,0.0,
41,55.798,54.272,57.344,,,14.7,0.037077233197309,,0.1899,,22.169,77.831,,8.03999996185303,0.0,
42,56.454,55.227,57.672,81.27103424,183.532775237202,15.2,0.0490470197787003,,,,22.261,77.739,,8.18599987030029,0.119046168,
43,57.344,56.032,58.65,82.4578476,200.462566743838,15.6,0.0538747195803349,1.20234000682831,,,22.353,77.647,,8.12199974060059,0.883192104,
44,57.944,56.658,59.216,89.47005463,221.657604182947,16.1,0.0437301352730113,1.19937002658844,,,22.5,77.5,,8.05300045013428,2.547386592,
45,58.361,57.013,59.697,100.70698547,255.05511997846,16.6,0.063495466170261,,,,22.703,77.297,,8.11299991607666,4.915778177,
46,58.684,57.133,60.243,113.75410461,274.000486471348,17.1,0.0691743844762328,,0.1596,,22.907,77.093,,8.05399990081787,9.905952707,
47,59.111,57.342,60.909,107.1770401,375.078128065393,17.7,0.0683310586911881,,0.1743,,23.113,76.887,,8.10799980163574,18.02123984,
48,59.852,58.172,61.529,131.14537048,387.849174300047,18.2,0.134709695975708,,0.1744,,23.32,76.68,,8.02200031280518,29.88931593,
49,60.364,58.82,61.892,148.12165833,443.845150536332,18.8,0.178197750875713,3.77498006820679,0.2126,,23.528,76.472,,8.08199977874756,38.34172829,
50,60.851,59.278,62.408,143.66949463,554.595200222354,19.3,0.252220037661822,,0.2365,,23.737,76.263,,8.06799983978271,36.23965543,
51,61.419,59.825,62.993,143.09152222,621.912310861592,19.9,0.305307954864333,3.62226009368896,0.2518,,23.948,76.052,,7.94700002670288,47.17359546,
52,61.923,60.317,63.514,151.91798401,663.141052810937,20.5,0.265209508578463,,0.2414,,24.16,75.84,,8.01900005340576,50.35079702,
53,62.417,60.791,64.027,174.05947876,651.987861948108,21.1,0.189910278046671,,0.2846,,24.373,75.627,,7.94899988174438,53.28634042,
54,62.545,60.812,64.274,198.2940979,628.146803888496,21.7,0.149161535350241,8.23068046569824,0.2983,,24.587,75.413,,7.90999984741211,56.26314295,
55,62.659,60.76,64.576,211.58729553,592.476537451681,22.3,0.176278015184889,,0.285,,24.803,75.197,,8.98900032043457,58.39109599,
56,63.136,61.193,65.096,234.14021301,520.252064031151,23.0,0.15301907020982,,0.2782,13.9,25.02,74.98,,10.0860004425049,62.37109623,
57,63.016,60.105,66.099,259.78683472,530.149830802984,,0.134106112096442,,0.2409,,25.25,74.75,,11.1800003051758,67.13641492,
58,63.081,59.923,66.458,294.30911255,502.056770622973,,0.165454681763912,9.68642044067383,0.2966,,25.495,74.505,,11.1099996566772,59.90264778,
59,63.565,60.619,66.677,285.55813599,500.522664145294,,0.160976451493467,,0.2125,,25.754,74.246,,11.085000038147,59.78387904,
60,62.575,59.866,65.432,,516.866552182696,,,10.5625200271606,0.2538,,26.026,73.974,,11.710000038147,58.1902139,
61,,,,,368.754614175459,,,,,,26.314,73.686,,,,
62,44.0855518454965,42.5431627109112,45.7073806114601,,162.913034498773,,,,,,14.5638104309121,85.4361895690879,,,0.0,
63,44.386696928982,42.7429203642934,46.1187374476268,,162.551683028333,,,,,,14.8114099770576,85.1885900229424,,,,
64,44.7521818697994,43.1134272779315,46.4793254952251,,172.002459991871,,,,,,15.069248988944,84.930751011056,,,,
65,44.9131593023895,43.1577660426942,46.772370142972,,199.189238183763,,,,,,15.3479755955329,84.6520244044671,,,,
66,45.4790430350926,43.7050555142663,47.3501615657085,,179.387798934375,,,,,,15.6401947948091,84.3598052051909,,,,
67,45.4983377851245,43.6826894478482,47.4204739661519,,198.230367947484,,,,,,15.9412824839848,84.0587175160152,,,0.0,
68,45.249104629175,43.4901619048218,47.1182913268798,,209.414665329615,,,,,,16.2551767371427,83.7448232628573,,,,
69,45.9249050028634,44.1149282976705,47.8452250201486,,211.707060299881,,,,,,16.5743103647209,83.4256896352791,,,,
70,46.2230965735857,44.4032620497399,48.1519717962566,,224.239783257824,,,,,,16.899608219168,83.100391780832,,,,
71,46.4323030920124,44.5792318064182,48.3988985188352,,249.589133066473,,,,,,17.2345181088218,82.7654818911782,,,,
72,46.7184845197579,44.8664574804166,48.6813269726716,,260.12108408503,,,1.91398000717163,,,17.551966796286,82.448033203714,,,0.0,
73,47.1929422628056,45.289742041229,49.2065120887183,,278.761746017192,,,1.90911996364594,,,17.8753210259843,82.1246789740157,,,,
74,46.8973892484582,44.9977009823533,48.9153642228006,,293.085815666296,,,1.93370997905731,,,18.2205349024791,81.7794650975209,,,,
75,47.6923174333564,45.8845481825658,49.5970021157428,,370.427050407962,,,1.94720995426178,,,18.5623419871971,81.4376580128029,,,,
76,47.5980637543936,45.8106928597236,49.4879689150577,,444.732866058845,,,2.02798008918762,,,18.8788987816351,81.1211012183649,,,,
77,47.7598869102852,46.0004021974988,49.619009310466,,459.911750911358,11.7212767771409,,2.09097003936768,,,19.2012051994471,80.7987948005529,,,0.0,
78,48.3495880515137,46.4799182704524,50.3314263344778,,444.090565376622,12.0186321884917,,2.13235998153687,,,19.5241247237822,80.4758752762178,,,0.0,
79,48.6359051941044,46.7053081652754,50.6851958046723,,489.863381320003,12.3494491691658,,2.17598009109497,,,19.8604375818888,80.1395624181112,,,0.0,
80,48.7636045995518,46.7388753685675,50.9293719093031,,530.390720248921,12.6725729276082,,2.26763010025024,,,20.2150962477208,79.7849037522791,,,0.0,
81,49.261335737194,47.2851743112482,51.3649720386453,,600.391212088615,12.9971389725674,,2.33280992507935,,,20.5550221131907,79.4449778868093,,,0.0,
82,49.6365376633939,47.6924367667017,51.7179843504051,,738.898740871083,13.3503808905831,,2.40820002555847,,,20.8761123478012,79.1238876521988,,,0.0,
83,50.0570732913929,48.0392527793917,52.2219537716552,,732.943418647214,13.6836763908834,,2.47571992874146,,,21.1656900615074,78.8343099384926,,,0.0,
84,50.2968491379812,48.2469716773968,52.493403158806,,681.673764988377,14.0175095048822,,2.60303997993469,,,21.4451058371631,78.5548941628369,,,0.0,
85,48.7033305923076,46.6509666694814,50.8975139636199,,692.008640169286,14.3571561748958,,2.6483199596405,,,21.7871068282136,78.2128931717864,,,0.0,
86,48.6526645552392,46.4401788685541,51.0159667552218,,615.431957805129,14.7236928162882,,2.74279999732971,,,22.1925356978551,77.8074643021449,,,0.0,
87,49.0116307202704,46.7983927211196,51.3479765137673,,508.712031655308,15.0669776720266,,2.8472900390625,,,22.6451052024127,77.3548947975873,,,0.0,
88,49.6397190079537,47.3735998846512,52.0056410096266,,552.554967083151,15.4729270687914,,2.94775009155273,,,23.148128021038,76.851871978962,,,0.0,
89,50.0758875408274,47.6959634809498,52.5973633731797,,654.337932048893,15.9013849762319,,3.05903005599976,,,23.6596492286696,76.3403507713304,,,0.0,
90,49.3597265265243,46.9193669772453,51.9874975930103,,697.241123281506,16.3351802683977,,3.17821002006531,,,24.1735493541004,75.8264506458996,,,0.0,
91,50.6840997852884,48.3707975811769,53.0807189796995,,722.451704073377,16.7692832532496,,3.34093999862671,,,24.6828501206177,75.3171498793823,,,0.0013425755367207,
92,50.6077275337211,48.2336956594133,53.0658395514734,,817.175972972585,17.21756053588,0.982136340412434,3.35684990882874,0.160298794326942,,25.2027985279673,74.7972014720327,,,0.0025821426556722,
93,50.3904596093263,48.103799345053,52.7460551271059,,858.326597122785,17.6312330618749,0.937815051493395,3.45161008834839,,,25.6451460467216,74.3548539532784,,7.3333359165049,0.0030601295210905,
94,49.9621136475362,47.6512676870803,52.3678484485409,,728.79019468649,18.0117366640578,0.90259939756193,3.51677989959717,,,26.07387389696,73.92612610304,,7.31874705144978,0.0058241644027969,
95,50.2736279712378,47.9092598236726,52.7353252238145,,704.766483147988,18.3919499985962,0.904580639037715,3.70003008842468,,,26.5098231519078,73.4901768480922,,7.24270551538248,0.0160281568745268,
96,50.882581820857,48.7719685025176,53.0321322371138,,697.206380335282,18.7811382903849,0.906339598700025,3.84608006477356,,,26.948708857195,73.051291142805,,7.1606939771638,0.117720610098511,
97,51.0019252899341,48.8399757339501,53.1898367759865,,762.869082911069,19.1735556669776,0.926339289408563,3.86577010154724,,,27.3352881909909,72.6647118090091,,7.06379589640827,0.164300729636764,
98,50.8106889705148,48.6764095511719,52.9603591651235,,739.493175360797,19.5720216025164,0.936868599615365,3.87107992172241,,,27.6248973342379,72.3751026657621,,7.05599796744036,0.285421858668388,
99,50.9742313589474,48.9097550234422,53.0385817343631,,757.87763492823,20.0228826266198,0.957668495768107,3.84185004234314,,,27.9110722237409,72.0889277762591,,7.09054103045865,0.537893874347061,
100,50.3259127442221,48.0877684845754,52.620748145347,,696.397558722091,20.4641139538523,0.958016911019618,3.84495997428894,,,28.2033753054683,71.7966246945317,,7.06009651793634,0.963135057510966,
101,51.2378519083819,49.1074005198067,53.3961139305132,,669.713865939591,20.9081963748412,0.896762062622836,3.86219000816345,,,28.489867849738,71.510132150262,,7.01527157432932,1.5364967739772,
102,51.9644813247726,50.2368403625047,53.6622075489618,119.277317165407,707.015752221191,21.3574670834238,0.886253682477178,4.06408977508545,,,28.7727799350881,71.2272200649118,,6.93953642644108,2.53187461998447,
103,52.189648214333,50.5732792132029,53.7726263118707,126.608520071256,628.225241592002,21.7930214800337,0.95424320692125,4.34945011138916,,,29.0715908083576,70.9284091916424,,6.85037572406791,3.48511266478186,
104,52.540794004192,50.9383927817432,54.104872027507,124.987631603529,626.580852623532,22.2413853736092,0.956164399242032,4.58667993545532,,,29.3861902826353,70.6138097173647,,6.80353661652446,4.59739340752445,
105,53.0220345898659,51.5061246422434,54.4953652961009,136.956102542687,812.973644842731,22.7011536518163,0.982878379361328,4.87930011749268,,,29.6984193472006,70.3015806527994,,6.7412409260797,6.07988901464806,
106,53.5454571098034,52.0291796349508,55.0200370909508,145.66355668505,985.563259008396,23.1394551441364,1.02766437578895,5.15983009338379,,,30.0141481021328,69.9858518978672,,6.53517317460762,8.01544755486436,
107,54.2196508058581,52.6792907826266,55.7176973630047,154.031315132401,1120.48433335693,23.5992203940753,1.00285715118919,5.41565990447998,,,30.349868510116,69.650131489884,,6.3735025653771,12.59131987433,
108,55.1505461100496,53.5822670689842,56.6712952845485,170.43692259857,1226.22356855463,24.072374076977,0.99133453878279,5.71454000473022,,,30.6760655097936,69.3239344902064,,6.34759816055424,16.9490525169552,
109,55.9338017149142,54.2943348209578,57.5312565460398,183.585545697895,1369.85532795439,24.528065227675,1.00782238957389,5.90399980545044,,,30.9347663936363,69.0652336063637,,6.28342089359081,21.6849919782563,
110,56.6804188973962,54.9409629503684,58.3793864857342,189.170487552576,1428.38272766643,24.9945190834392,1.04752625799657,6.34267997741699,,,31.3432413028329,68.656758697167,,6.23256052983032,28.1203044455646,
111,57.6208515442432,55.7571338969577,59.4509527719329,199.10174214859,1411.62245960991,25.4642246853597,0.98533507675895,6.97440004348755,,,31.7575261988182,68.2424738011818,,6.29558701104752,32.6088889551093,
112,58.4111497501441,56.4796472634335,60.3096746217232,201.65828522049,1643.60556870139,25.9399892762095,1.01180671779076,7.59839010238647,0.103359172473203,,32.1812909874008,67.8187090125992,,6.93364462972581,38.5271319772483,
113,59.2932713889337,57.2591451349442,61.3002881377364,210.851515092442,1792.90750512756,26.4399675022391,0.970187522656224,7.98538017272949,,,32.6176919701458,67.3823080298543,,6.71535805738561,48.0159935090946,
114,60.0507802468673,57.9297138124994,62.1479837948472,202.877401187196,1759.18239469392,26.9272671895017,0.983547239181253,8.28293991088867,,,33.0404735995372,66.9595264004628,,6.59935567323687,52.7679765565158,
115,60.709863140516,58.4716979727039,62.9358932228363,214.724300345083,1730.39468555029,27.4176435136124,0.995664910620022,8.50697994232178,,,33.4762079430807,66.5237920569193,,6.5127841025363,57.6880768277277,
116,61.337911447657,59.0281376974846,63.6411707885006,211.001403772416,1719.18372097247,27.9319404380646,1.00693765045541,8.5890998840332,,,33.9369592592627,66.0630407407373,,6.55564528416233,61.9358160623131,
117,61.8564524336049,59.5174587951231,64.1911189450575,219.580072530435,1538.55226805656,28.4743402955682,0.956703663086829,8.79500007629395,,,34.4255806890373,65.5744193109627,,6.70714160237614,67.2938731832888,
118,62.4440448894169,60.0212437222169,64.8677850678876,222.741408387008,1443.69237090812,28.9666964864907,0.938564717748011,8.99787044525146,,39.5127334343839,34.8947498920365,65.1052501079635,,6.8555894235371,64.2849546298434,
119,62.9223846035263,60.5358346413935,65.3040042282935,214.896146080527,1628.58678812124,,0.928507991370632,9.11867046356201,,,35.3588983011336,64.6411016988664,,6.94036503514997,64.2264956752755,
120,63.3658579512382,60.9051812348701,65.8281020897847,214.70876033619,1564.73433998697,,0.90809351757865,9.16394996643066,0.229967326754284,,35.8475956934901,64.1524043065099,,6.91304643638878,72.279077070328,
121,63.7556736140197,61.2907170080319,66.2197216216821,217.456236861474,1512.2705529912,,0.903764110583573,9.09615039825439,,,36.3362575477093,63.6637424522907,,7.12166374671851,68.7522400501096,
122,63.3138559861117,60.8174801969809,65.836460467651,,1363.54074100996,,,9.55309963226318,,,36.8283007969397,63.1716992030603,,7.63130341847771,71.0600068615159,
123,,,,,1549.77272965144,,,,,,37.3236974939581,62.6763025060419,,7.9202187313171,84.3653340222534,
124,37.8451516181524,36.4493959196289,39.3846380193242,,106.976474931853,,,,,,14.7053906572829,85.2946093427171,,,0.0,
125,38.1649497795417,36.7640725421936,39.7042838810836,,112.047561307443,,,,,,15.0901232331247,84.9098767668753,,,,
126,38.7351018609467,37.5664024534281,39.9353540946897,,117.730633160077,,,,,,15.4840755171037,84.5159244828963,,,,
127,39.0637152759625,37.8786600566624,40.2834683132972,,122.278714987374,,,,,,15.8975919499162,84.1024080500838,,,,
128,39.3353602545354,38.1010226639371,40.6098877800384,,130.599962606932,,,,,,16.3292078540238,83.6707921459762,,,,
